normalized_x,normalized_y,normalized_z,window_label,Augmentation,Object
0.1227159459124084,-0.1944539916221751,0.1246244119243655,1,original,Staple
0.1270167473680666,-0.2014038987999866,0.1178045305523186,1,original,Staple
0.1315006230706009,-0.2090022910034071,0.1113379594485537,1,original,Staple
0.1356304436775408,-0.2165268888198233,0.105407423516439,1,original,Staple
0.1388452522501858,-0.2232377312143908,0.1002091631486901,1,original,Staple
0.1407563847027982,-0.2284712687866291,0.0959530023514617,1,original,Staple
0.1412274264422282,-0.2317674635987311,0.0928037638877842,1,original,Staple
0.1402618722077258,-0.232971734693567,0.0908465538828469,1,original,Staple
0.1378436073045027,-0.2322234203479654,0.0900692657911787,1,original,Staple
0.1339084196630849,-0.229832339247626,0.0903469919567449,1,original,Staple
0.1284713373055857,-0.2261618822732609,0.0914708015448224,1,original,Staple
0.121784469378467,-0.2216189627176068,0.0932346929318858,1,original,Staple
0.1143880881781101,-0.216708661919776,0.0955366099510858,1,original,Staple
0.1070580055683556,-0.2120266763558421,0.0984226062471102,1,original,Staple
0.1007241888542101,-0.2081557248620435,0.1020242355000387,1,original,Staple
0.0963712817825201,-0.2055520635954198,0.1064340481425876,1,original,Staple
0.094908673883712,-0.2044824828294738,0.1116194172415176,1,original,Staple
0.097017592419649,-0.2050017480122636,0.1174019615801716,1,original,Staple
0.1030125625298741,-0.2069642699685942,0.1234650137500969,1,original,Staple
0.1127768193352969,-0.2100771139509656,0.1293814877412965,1,original,Staple
0.1257789017486577,-0.2139713476421243,0.1346691911346608,1,original,Staple
0.1411506713925286,-0.2182423522580137,0.13885836083033,1,original,Staple
0.1578301881716436,-0.2224479023461248,0.1415614843334925,1,original,Staple
0.174746386994126,-0.2261182496549729,0.142538589189193,1,original,Staple
0.1909530678935636,-0.2288239173068764,0.1417494220125466,1,original,Staple
0.2055886266017147,-0.2302738669418361,0.1393779703521256,1,original,Staple
0.2177016283714,-0.2303774333760935,0.1357880012716022,1,original,Staple
0.2261969823913614,-0.2292380912862225,0.1314023717074305,1,original,Staple
0.2300564901390357,-0.2270994385076414,0.1265814110130217,1,original,Staple
0.2287166708174979,-0.2242719251371087,0.1215756617438844,1,original,Staple
0.2223681405103933,-0.2210634156153714,0.1165536229416227,1,original,Staple
0.2119761365405752,-0.2177388717085895,0.1116603526532356,1,original,Staple
0.1989836224500352,-0.2145041344658773,0.1070665904014798,1,original,Staple
0.1848967545871251,-0.2114944381481285,0.1029879321693226,1,original,Staple
0.1710529802717708,-0.2087934187923408,0.0996684193340712,1,original,Staple
0.1586689263609493,-0.2064987394286456,0.0973141452171266,1,original,Staple
0.1489494193698129,-0.2047925659431714,0.0959911187721355,1,original,Staple
0.1430117079637446,-0.203989759996578,0.0955730543806598,1,original,Staple
0.1416391223166619,-0.2045147601308478,0.0958015313296828,1,original,Staple
0.145053273511956,-0.2067343559813491,0.096421592318151,1,original,Staple
0.1528883520125622,-0.2107541553993934,0.0972916917024009,1,original,Staple
0.1643907106016537,-0.2163899472005786,0.098375384586195,1,original,Staple
0.1785560723213535,-0.2233012404244891,0.0996316842759737,1,original,Staple
0.1939667673778974,-0.2311046893025978,0.1009110529214677,1,original,Staple
0.2086474872858365,-0.2394026553692061,0.1019271717071804,1,original,Staple
0.2203726947438714,-0.2477770259220723,0.1023140806123037,1,original,Staple
0.2272947233176661,-0.2557839516986433,0.1017497871054906,1,original,Staple
0.2284375006138181,-0.2629831003544105,0.1000959797126835,1,original,Staple
0.2237761910754936,-0.2689992026509273,0.097479435265614,1,original,Staple
0.2139332389762937,-0.273549325906982,0.0942742021998601,1,original,Staple
0.1997926688829211,-0.2764309535581053,0.0910124908715206,1,original,Staple
0.1823619453713749,-0.2775249252677928,0.0882613272845101,1,original,Staple
0.162912766050171,-0.2768046902930601,0.0864886684234489,1,original,Staple
0.1430980645619178,-0.2743351588653476,0.0859609547633649,1,original,Staple
0.1247378294948317,-0.2702950398932405,0.0866860920664439,1,original,Staple
0.1093383797547995,-0.2650243371650645,0.0883620747180603,1,original,Staple
0.0977289789019564,-0.2590416319675575,0.0903554123688218,1,original,Staple
0.0900276868651294,-0.2529658723948789,0.0918536627262906,1,original,Staple
0.0857973873013729,-0.247345748747561,0.0921919594491661,1,original,Staple
